symbol,date,quality_score
AYI,2013-08-31,0.052263194943600155
AYI,2014-08-31,0.7862686572033388
AYI,2015-08-31,0.7499999371646398
AYI,2016-08-31,0.7499999074675205
AZO,2013-08-31,0.6666666252928505
AZO,2014-08-30,0.25
AZO,2015-08-29,0.25
AZO,2016-08-27,0.25
BA,2013-12-31,0.45616289703486684
BA,2014-12-31,0.5204986554072738
BA,2015-12-31,0.7512624905239927
BA,2016-12-31,0.4741769745252609
BAC,2012-12-31,0.3761946922167638
BAC,2013-12-31,0.4355069634721566
BAC,2014-12-31,0.45511718039317983
BAC,2015-12-31,0.7154986494955068
BAX,2012-12-31,0.5014410767144729
BAX,2013-12-31,0.37273660824769583
BAX,2014-12-31,0.43738393760612115
BAX,2015-12-31,0.7248081880150068
BBBY,2013-03-02,0.3333333333333333
BBBY,2014-03-01,0.25
BBBY,2015-02-28,0.7499999653778203
BBBY,2016-02-27,0.25
BBT,2012-12-31,0.3740530366462053
BBT,2013-12-31,0.4342413513445235
BBT,2014-12-31,0.44940633096254623
BBT,2015-12-31,0.7143250718582892
BBY,2012-03-03,0.3333333333333333
BBY,2014-02-01,0.2269748310105262
BBY,2015-01-31,0.2279093853345911
BBY,2016-01-30,0.3446530345228616
BCR,2013-12-31,0.5036671369792823
BCR,2014-12-31,0.6097681505145924
BCR,2015-12-31,0.8230431026253114
BCR,2016-12-31,0.5474433452775169
BDX,2013-09-30,0.3332460437446785
BDX,2014-09-30,0.36161779474544004
BDX,2015-09-30,0.3398478033002488
BDX,2016-09-30,0.34574345206016743
BHI,2013-12-31,0.4688435042308637
BHI,2014-12-31,0.5610613175350007
BHI,2015-12-31,0.6449584405701476
BHI,2016-12-31,0.3087599637376084
BIIB,2013-12-31,0.6346125368942209
BIIB,2014-12-31,0.7500870138573733
BIIB,2015-12-31,0.8047874262218361
BIIB,2016-12-31,0.5682924220916056
BK,2012-12-31,0.3843150934859357
BK,2013-12-31,0.44172076619001327
BK,2014-12-31,0.463323340371786
BK,2015-12-31,0.7214036578062095
BLL,2012-12-31,0.4751969348837007
BLL,2013-12-31,0.4857627748817133
BLL,2014-12-31,0.5540833867274808
BLL,2015-12-31,0.7040169344172419
BMY,2012-12-31,0.4352093954114237
BMY,2013-12-31,0.4745525222724575
BMY,2014-12-31,0.522661096050809
BMY,2015-12-31,0.7467995474317182
BSX,2012-12-31,0.17460796950439303
BSX,2013-12-31,0.4438321263561503
BSX,2014-12-31,0.4417453300033802
BSX,2015-12-31,0.7087025725959899
BWA,2013-12-31,0.51297390202586
BWA,2014-12-31,0.5799181562707184
BWA,2015-12-31,0.7310983912785468
BWA,2016-12-31,0.4894221698981465
BXP,2012-12-31,0.4185214151176912
BXP,2013-12-31,0.45311802535520657
BXP,2014-12-31,0.4929565024405548
BXP,2015-12-31,0.7379998535888077
C,2012-12-31,0.37823866417844515
C,2013-12-31,0.44287916370533126
C,2014-12-31,0.46371499581044845
C,2015-12-31,0.7233407374457684
CAG,2013-05-26,0.213295328160528
CAG,2014-05-25,0.26274617078914514
CAG,2015-05-31,0.40406835791418916
CAG,2016-05-29,0.38370321480616426
CAH,2013-06-30,0.4193869299545652
CAH,2014-06-30,0.11575897148029979
CAH,2015-06-30,0.23484429625366587
CAH,2016-06-30,0.4622853291656709
CAT,2013-12-31,0.453538401415644
CAT,2014-12-31,0.48238071562305757
CAT,2015-12-31,0.729575853450227
CAT,2016-12-31,0.3898605357212369
CB,2012-12-31,0.40508683274855234
CB,2013-12-31,0.4665077633848134
CB,2014-12-31,0.47781222373859206
CB,2015-12-31,0.7273357834271488
CBG,2012-12-31,0.447085697336464
CBG,2013-12-31,0.5377214330887733
CBG,2014-12-31,0.5788624882451809
CBG,2015-12-31,0.7198762017996447
CCI,2012-12-31,0.42915320612999813
CCI,2013-12-31,0.46473818304782927
CCI,2014-12-31,0.503613767386508
CCI,2015-12-31,0.7212280234488673
CCL,2013-11-30,1.1313872501824325e-07
CCL,2014-11-30,0.005074545567668163
CCL,2015-11-30,0.17072435760174967
CCL,2016-11-30,0.332477698567889
CELG,2013-12-31,0.5172233837854118
CELG,2014-12-31,0.5442790627157107
CELG,2015-12-31,0.7355554703400722
CELG,2016-12-31,0.5225671930222343
CERN,2013-12-28,0.5759953796694236
CERN,2015-01-03,0.8395270260505294
CERN,2016-01-02,0.7614004743574735
CERN,2016-12-31,0.5859459083385417
CF,2012-12-31,0.7060491628532916
CF,2013-12-31,0.5776543209170066
CF,2014-12-31,0.5596702575970558
CF,2015-12-31,0.7475896021548911
CFG,2012-12-31,0.3754269538099253
CFG,2013-12-31,0.43866601874969297
CFG,2014-12-31,0.4529131361816584
CFG,2015-12-31,0.7159260013488932
CHD,2012-12-31,0.5177385370918447
CHD,2013-12-31,0.5509976532002994
CHD,2014-12-31,0.5760672254907324
CHD,2015-12-31,0.7947616578657725
CHK,2012-12-31,0.33360548546667096
CHK,2013-12-31,0.5070921124728301
CHK,2014-12-31,0.5562851339121706
CHK,2015-12-31,0.38095310959869705
CHRW,2012-12-31,0.6248747804600855
CHRW,2013-12-31,0.7107940325990864
CHRW,2014-12-31,0.5491410733574794
CHRW,2015-12-31,0.8384330625868877
CHTR,2013-12-31,0.44703979202706184
CHTR,2014-12-31,0.4807898557212759
CHTR,2015-12-31,0.7206376701602412
CHTR,2016-12-31,0.4108835449231404
CI,2012-12-31,0.41849148119471624
CI,2013-12-31,0.47341581798248483
CI,2014-12-31,0.5074645351012923
CI,2015-12-31,0.7459709687411753
CINF,2012-12-31,0.408709971602257
CINF,2013-12-31,0.4643575370723324
CINF,2014-12-31,0.4861615527085042
CINF,2015-12-31,0.7370381318950628
CL,2012-12-31,0.6400746277142807
